Headline (CID),Date_Posted,Post_Text,Source_URI,Author_DID
bafyreic7bb6kxk76ylszd7sf7ntcla7nayusv2xsufyqhae36el6odhgfe,2026-02-28,Bahrain is confirming 5th fleet bast was hit  www.middleeasteye.net/news/iranian...,https://bsky.app/profile/igdilemma.bsky.social/post/3mfw6ew4vns2q,did:plc:bxhattylmje2ejjnb7qisrx2
bafyreid2wtowav7weyuhgaxnmiqq7fu5bm6adoav5vxuskqomalb4n4hhy,2026-02-28,Wondering what the shiny ball would be to chase after a week of ongoing Epstein news turns out to be Iran 😵‍💫,https://bsky.app/profile/lady37.bsky.social/post/3mfw6es42mc24,did:plc:iedckacdafozjec4dbnojfla
bafyreifuvweetlgmn7ksphspqzhvszz3rphwczngn4n3dfky47dih4ogvi,2026-02-28,Trump's attacked Iran  www.bbc.co.uk/news/live/cn...,https://bsky.app/profile/dialancea.bsky.social/post/3mfw6epk6ik22,did:plc:7q4pm3jzqjww2fxcm6jxuu7e
bafyreifpnzidf7add3vbqenu4hw3vjriih4jpl3vfillss7mbilmnbplmy,2026-02-28,"Breaking news Trump warns of potential US casualties in 'massive ongoing operation' in Iran ByJon Haworth, Jack Moore Feb 28, 2026 4:15 am EST  Sunk to new low. Pathetic.",https://bsky.app/profile/miab75.bsky.social/post/3mfw6egbv2c2v,did:plc:pxgjgba7pefj3z5h3j7ugwgg
bafyreidcmvewoehkg6ysowrl3pkeqm7357bc3fc747jw7qxhknnmvmicwq,2026-02-28,"Meanwhile the U.S has become increasingly belligerent under his adm in other parts of the world – forcing regime change in Venezuela, striking Tehran’s nuclear facilities& fracturing vital relationships with NATO allies over Trump’s demands4control of Greenland. www.independent.co.uk/news/world/a...",https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw6eeig6k2u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreih3hwo62np3wvncd5noaev6nscvee6fssqxphhoiqqulpdo7swixq,2026-02-28,You can also follow the current news here.  www.nbcnews.com/world/iran/l...,https://bsky.app/profile/lmccrae.bsky.social/post/3mfw6ebqoks2c,did:plc:3wphlueao2konftmf3wzo75n
bafyreidulkgrt6ecnggs7e6ooofjbw6ayyeyjqejuomq5pyn42zc5svg4a,2026-02-28,"#WTAF?! This isn’t a joke?!  In addition to getting  $3/a dozen eggs, was #trump “no more foreign wars”?!  That petty, racist, moron destroyed Obama’s Iran deal-the best in decades- sabre rattles #Iran, then does this, instead of releasing the #Epstein files?!  www.yahoo.com/news/article...",https://bsky.app/profile/chocolatefire.bsky.social/post/3mfw6dcyejc2x,did:plc:seulgagz3hgwzspe2hltm4kx
bafyreidutmcob2ng4jcpw24w6h6tneuhkylifqr3hc7qr5zmcxf7cd6c3e,2026-02-28,"In truth, many of the disputes Trump is referring to persist without resolution, and hostilities have reignited in several of the regions to which he claims to have brought lasting harmony. www.independent.co.uk/news/world/a...",https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw6cwbtq22u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreic5qxecnfdfefrr3s7x5fyk3buuahwocqjdu7ji6qfx2vs4oihcau,2026-02-28,So does this mean Russia gets to keep all of that Iranian Gold Allegedly Flown to Russia fearing Collapse?   united24media.com/latest-news/...,https://bsky.app/profile/patrickmaroney.bsky.social/post/3mfw6cuycms2i,did:plc:qx3rk4f4r54bfkt2u3e7jmix
bafyreiaivmjefrjg2yedqd6hgnmtjhrmmzw3nxwo5uspkfuadensol62ia,2026-02-28,"Thanking Trump, [Netanyahu] reiterated his message that Iran ""must not be armed with nuclear weapons that would allow it to threaten all of humanity"".  Says the man with nukes and committing a #genocide.  BBC News - What we know about the joint US-Israel attack on Iran www.bbc.co.uk/news/article...",https://bsky.app/profile/fishyweb.bsky.social/post/3mfw6cohjxk2w,did:plc:4klnkvwyefnynkhm4ypykjmn
