Headline (CID),Date_Posted,Post_Text,Source_URI,Author_DID
bafyreig5cmrxhpklgdabvoxjwcpdhc244zzjmnrtgpsu77xl27zeaarznu,2026-02-28,"Okay, but if despicable, why cool looking?  That is a man that has never needed to ""farm"" aura, for he has never known a shortage of it in his life.",https://bsky.app/profile/kalonimos.bsky.social/post/3mfxgnfbowc2z,did:plc:tyycjns2lohdlw5u2nkytcjw
bafyreih4leaxuiqowzalp5ddpkptkpkp2p2bh4nldc5rmd3bth4luasdde,2026-02-28,"If you're rooting for an emergent democracy in Iran, the best you can hope for is a long bloody civil war. When the institutions of democracy have not existed for generations, there is nothing but factions...",https://bsky.app/profile/mikey-hq.bsky.social/post/3mfxgnfbca22b,did:plc:rivf66rx5zsbhkrzya46anjv
bafyreiei2dso23us555ks4ie5yushta6vmhqzeox6ii2sy57rczhapqwx4,2026-02-28,That is sorta like a John Smith changing his name to Jon Smith and claiming it is the different person.,https://bsky.app/profile/jasski.bsky.social/post/3mfxgnfa54k23,did:plc:5lfpei6cseredu4s4kjygfhh
bafyreigitufv6s6v7ckxyvtju662pezbb4uosdpd5e6mkvsetdvwxsrvmi,2026-02-28,I really love that piece by Aria. Would love to see Kitten like that some day. 💜,https://bsky.app/profile/gothmommyxoxo.com/post/3mfxgnf3rhs2n,did:plc:eo27grztl5mjj62p3kr4k3bz
bafyreihgtcrk4zcg2v3zpbfo4d4m52x6s4ao5d3nktk3rgt6sx6e636kru,2026-02-28,Can’t wait until the stock futures open to a big crash tomorrow night,https://bsky.app/profile/kascnef82.bsky.social/post/3mfxgnewpec25,did:plc:w3h67omnfeohaytmslo2gali
bafyreifa3dpy5d6bj4o7unlhh2zzpa4myw7dpfigospqfpfnox5wb5aqhq,2026-02-28,الصراحه عندك حق❤️❤️,https://bsky.app/profile/anamshhena.bsky.social/post/3mfxgneu6ck2y,did:plc:ay5bkrs4ziahtvbuix6fvif2
bafyreihexbs5ikvxjbsftwaeqpbsqixqpldpom3sp43dhs66va4qqtd62i,2026-02-28,Hey @govwesmoore.bsky.social what are you going to do to protect us from the state sponsored militia ethnic cleansing death squads?,https://bsky.app/profile/bobcatarts.bsky.social/post/3mfxgnetpns2t,did:plc:vjs5dx2m7dgmqaittyzch4ig
bafyreie477bzif5ebhdiwiht4gad2prhi6upbuoboqpjiwxu2c6lmjf4j4,2026-02-28,Rumps Metal of Fee-Don same as he gave to the hockey team.,https://bsky.app/profile/ncdems.bsky.social/post/3mfxgneryxs2p,did:plc:n7geznioblri6isbvvrulobd
bafyreib7q2e5wg37cxsg2jhktosgljy4c6pk2ddc4uhw2cxb4z3inx5qrq,2026-02-28,"Seeing a pattern here. Trump just accused Iran of interfering in our '20 & '24 elections. Now he's claiming China did the same. Will he blame the entire world of interfering so he can stop the elections to ""protect"" us? I was tired of this fucker before he took office in '16 - imagine how I feel rn.",https://bsky.app/profile/breedanielswins.bsky.social/post/3mfxgneoojk2k,did:plc:fge6es3o7m2oh6p635ojgpb3
bafyreichekymcmyn2pe3rtig4sm6cj5pdep2ffyrbd75n5nftgo36ea6ka,2026-02-28,You're a clown if you expect people running for office to be in the top 0.1% of anything. That kind of nonsensical bullshit is how the ruling class convinces useful idiots to sabotage anything less shitty than the status quo.,https://bsky.app/profile/miasmo.bsky.social/post/3mfxgneny2s2r,did:plc:hrib4vzyew4dujw2pwrtys5m
bafyreia6wnn4ktzlmggobf6bcf4cduyasbpr3oan2hvtrtsizbk7elqovy,2026-02-28,Rick Scott on @cnn.com: Every president since Truman has gone to war without a war declaration.  It's not a good sign that my work is relevant: The Gloss of War: Revisiting the Korean War’s Legacy - Michigan Law Review share.google/bd3NyagMfAdL...,https://bsky.app/profile/marydudziak.bsky.social/post/3mfxgnem6h22k,did:plc:b6r7hwcxjmxeelgzrn7lyqvr
bafyreihldnzei3ulnlaestrs5l77gvh2my7q54afruk3p5fef2r2wbqsaa,2026-02-28,"Yeah it sucks, it's actually looking like a few people may show up but after all but no where near what I prepped for",https://bsky.app/profile/orenshedherskin.bsky.social/post/3mfxgnelvns24,did:plc:2v5itwuwvpjre2rguoqw6kbf
bafyreicyka7bmahrq26qcjtkxm4ymmamknl7r5ctvext7laofagyp2rlzq,2026-02-28,I'm have to agree with you here. But I don't do that kind of cheerleading. I tell the truth. Doesn't mean I don't vote. It just means I'm honest about this country and what is happening.,https://bsky.app/profile/beyondblonde.bsky.social/post/3mfxgnelgz22l,did:plc:3qlrceor2e4rundf465oli4r
bafyreigyjg4ukn4mo6hx6ttuutuskgbmfbxg65qtlfr77j5v5t2c6zbb3y,2026-02-28,How long until we see part two where moon is cumflated/pregnant and star is pounding eclipsa or heckapoo,https://bsky.app/profile/argovermillion.bsky.social/post/3mfxgnekols25,did:plc:7g7px65pnycgydj3pf2dxd3c
bafyreigolfqzonuy4k77ckbwqb6wble4piolatoxp6whguxxz2vvxnddxm,2026-02-28,"On the contrary to what Trump has said about the imminent threat from Iran, this continued series of campaigns against Iran have taken place precisely because the US believes Iran does not have the capacity to impose costs or threaten the US in the short term",https://bsky.app/profile/oromazes.bsky.social/post/3mfxgnegxhc2m,did:plc:uccvoznjralbj74vjmxyjjvn
bafyreiaygo5yjgac5ft7k2tz2uwxfweg2gpyny6ndls4uklttivtft4sfa,2026-02-28,the bacon is thiccer than the dang borger,https://bsky.app/profile/skuncc.bsky.social/post/3mfxgnegvis2h,did:plc:5npw2n2czqtflckm67ld4ij5
bafyreidtxlbudikvqjewit7yj6wlwdiajc7c4ojqwmf7lpy467qqzzuehu,2026-02-28,D.h. er lebt noch?,https://bsky.app/profile/malignant-obs.bsky.social/post/3mfxgnegfus24,did:plc:jfbg27xuqxu2hmbxpawrabfj
bafyreid2iulzslh3yhfaorcckcoocd4ltuyity5l6z7lrnuckt7ozv5n7e,2026-02-28,Trump will keep bombing countries until he is finally given the Nobel Peace Prize!,https://bsky.app/profile/deanobeidallah.bsky.social/post/3mfxgneehes27,did:plc:zetunk75tdvsmkjqkel65dcl
bafyreihpwfn47jx2u6u6ddmodiahyf4achzemgc6v6ex6ememmlzf6tllq,2026-02-28,What’s that?,https://bsky.app/profile/n0tf0ll0w.bsky.social/post/3mfxgneebjc27,did:plc:t7ndwxfqzv33fgqt2rwo5bsg
bafyreieslcwizqsiqor6ag4uznf2oo7ajcu5ltqtpcv62j3ypphtfvmzzu,2026-02-28,Sometimes you just gotta light a candle for someone and move on.,https://bsky.app/profile/lavellinda.bsky.social/post/3mfxgnee4n22g,did:plc:rjvb7mbbgswmkhfzft64x2am
bafyreigyg35dipgrgky5w7xksmdjeuyyjgvrldvlv5vq4gxqtsagycglhi,2026-02-28,saturdays are made for shoegaze,https://bsky.app/profile/griffinsspike.bsky.social/post/3mfxgnedmz226,did:plc:jscye6humnenuqrbi2xmww2x
bafyreics4pgsu63f6cfmwil7g2gdxh4or2o6klqdrw2yoyzf2outdbohrm,2026-02-28,all big monster men just love receiving rimjobs thats just how it is and you should give them their rimjobs!,https://bsky.app/profile/kled.bsky.social/post/3mfxgnedh5k2b,did:plc:7j3bszinofxweabbxhtjgeb4
bafyreidls6skuqnbmwvzptoebl3rpgsyafnprifwv4xg77k7cbpzjcchhi,2026-02-28,Thank you @sausalitohippie for reposting this.,https://bsky.app/profile/garytcoles.bsky.social/post/3mfxgned7dk2w,did:plc:6kzlg4obmpyqtikux4luxiiv
bafyreihot7sz3amlnm7mf4nl73aq5urjezolnvdr6ooryuael6l27blyni,2026-02-28,she is essentially a mascot for a voicebank called vocaloid where people pitch up and down individual voice samples to make her sing (all without AI as well!)   and she has gained a lot of popularity   the leeks are something thats been established with her character for a long while lol,https://bsky.app/profile/sweetribbonvt.bsky.social/post/3mfxgnecmrs2l,did:plc:b645qm4we5x5be7g4ccid2yi
bafyreidjl6bkfvew6dqwnwflrr6vqpra7jcfiufphqiwyrtusmiqiyy4mi,2026-02-28,"Thank you, dear Stina.",https://bsky.app/profile/wnwagner.bsky.social/post/3mfxgnebllc2c,did:plc:3gftjhxovla4oux7ivqvw3nt
bafyreicudgi4t4s2tlzr4pemtwkqeax53b7mwmzupn6nvgxvyp6s2f3qjm,2026-02-28,9% in Worcestershire thanks to my idiot neighbours who voted for them.,https://bsky.app/profile/stefaniabarutta.bsky.social/post/3mfxgnebbss2w,did:plc:j4qyg7vn4rz2mbhocxcsdz3u
bafyreie7fyhv7a2d6zx4uly67ijg7eplyyypzigzai5qkrez776f74ukbu,2026-02-28,breaking a nail gotta be the biggest heartbreak of all time,https://bsky.app/profile/razorsinmyreeses.bsky.social/post/3mfxgne7k5k27,did:plc:d26wqeodfx6xnxvfsfr35i4e
bafyreiev4x6ej6me7wo3qrs5cpsve57izoqpuficb3ytz54j34y4r6t2ei,2026-02-28,So we stole because this administration is scared they might release the #Trumpstein files?,https://bsky.app/profile/donaldtess.bsky.social/post/3mfxgne7bec2f,did:plc:db4q2ouwc73bp5ptlxz7gao5
bafyreifaariy5n4lpdrnlhiok3pu4oxayhnvosmjvqtei6oeqlbpbhw3ty,2026-02-28,Scary hot,https://bsky.app/profile/truther-dare.bsky.social/post/3mfxgne6fzc2q,did:plc:sec5e5bfghet5h6rg2rpt2py
bafyreih6ng6ajsih5viifgxjrpcvh55zlw23hhbs4fcwniureqxyn4gtp4,2026-02-28,Who dat? She cute,https://bsky.app/profile/twatinthehat.bsky.social/post/3mfxgne4sb22k,did:plc:zkwinpnyvbuhao23elbvnhxh
bafyreihwye4kwur46mk5r44avcug4kaygk4f2qhidyvc72g3gfhqr2jwwi,2026-02-28,I just keep coming back 😮‍💨,https://bsky.app/profile/undressingdown.bsky.social/post/3mfxgne3r2k2d,did:plc:qvbipnkcihdhndpfwndibin2
bafyreihwbszspwyhtlc57ttcwi4lqefobtfnnt5zglmeobyksvtxrjvznq,2026-02-28,Every female Democrat in office has a bigger dick than the other eunuch punks in office.,https://bsky.app/profile/rgrzy.bsky.social/post/3mfxgne3p422h,did:plc:d5rxu37chy4wstghb5zguvod
bafyreifagzcehpcgsgi2ku3kv23xxygfbgwzoe5jgoi76fxudeyix4uxue,2026-02-28,"I suppose it's good that my mind is still subject to boggling. Imagine being a news reporter for the most powerful newspaper on earth and deciding on the day a lunatic president launched an illegal military attack on another major power that ""paves way for a broader dispute"" is the best hook.",https://bsky.app/profile/danmitchell.bsky.social/post/3mfxgne3l722v,did:plc:vrlavdjilbnbwjrp2noneuhe
bafyreibtbaqaa5pey5x2w6zjhjqxmrwrgya3epaxqukxjosde2ye3ykm7m,2026-02-28,tRump hates America.,https://bsky.app/profile/iamlilithfair.bsky.social/post/3mfxgne3ahc25,did:plc:4uthu5gpandbgem4j63sclxq
bafyreibfogmwa2mezkejupexe5zqi7wejxgiexvv567tphhlak5zyihwhm,2026-02-28,‘Don’t attend in person’: Lindsey Graham issues ominous warning to journalists   www.rawstory.com/amp/iran-267...,https://bsky.app/profile/trumprussiaties.bsky.social/post/3mfxgne2wos23,did:plc:dv25rroygcfed4cxxeyhygmb
bafyreihqyyrofa6cwo73rqw4eodi7njwd6jjbg26kfosep5qshjx4fdbd4,2026-02-28,Crying blood difference --- #sonicexe #2011x #xenophanes #headcanon #art #fanart,https://bsky.app/profile/reatheartist.bsky.social/post/3mfxgne2ync26,did:plc:u7oqmuy4xagfz4m2y43xnvze
bafyreicsniee5qvazvqxgwqc2w54zevk2xc3d3thubbe4enecncixmeh3a,2026-02-28,"(And in way too many non-North American cities, for the record😇)",https://bsky.app/profile/pcongre.bsky.social/post/3mfxgne2pu22l,did:plc:zposfgka2nolb3nadclz4nty
bafyreidoxm7tlyupav7uxdgfsrjrkqk73s4p4rcuw2t3u556xjqgm2bknm,2026-02-28,Shaving with a metal straight razor has given me so much less stubble and it's genuinely helped me feel less ugly I love it,https://bsky.app/profile/kortamor.bsky.social/post/3mfxgndy3uk2d,did:plc:ucyzelc2ycghc65eragxhxid
