"Headline (CID)","Date_Posted","Post_Text","Keyword_Match_Count","Matched_Keywords","Bucket_0","Bucket_1_5","Geo_Stakeholder_Hit","Other_Keywords_Hit","Highlight","Pattern_AIRSTRIKE","Pattern_AIRSTRIKE_Keywords","Pattern_OPEN_FOR_WAR","Pattern_OPEN_FOR_WAR_Keywords","Pattern_OIL_MOVEMENT","Pattern_OIL_MOVEMENT_Keywords","Pattern_GEO_MOVEMENT","Pattern_GEO_MOVEMENT_Keywords","Pattern_INFLUENCER_RUMOR","Pattern_INFLUENCER_RUMOR_Keywords","Pattern_PAUSE_STALL","Pattern_PAUSE_STALL_Keywords","Pattern_Signal_Count","Source_URI","Author_DID","Relevant","Confidence","Matched_Topics","Reasoning"
"bafyreih4leaxuiqowzalp5ddpkptkpkp2p2bh4nldc5rmd3bth4luasdde","2026-02-28","If you're rooting for an emergent democracy in Iran, the best you can hope for is a long bloody civil war. When the institutions of democracy have not existed for generations, there is nothing but factions...","1","Iran","0","1","1","0","False","0","","1","bloody; civil war","0","","0","","0","","0","","1","https://bsky.app/profile/mikey-hq.bsky.social/post/3mfxgnfbca22b","did:plc:rivf66rx5zsbhkrzya46anjv","True","high","The Iran conflict","The post discusses the political situation in Iran and the potential for civil war, which relates to the internal and regional conflict dynamics involving Iran."
"bafyreib7q2e5wg37cxsg2jhktosgljy4c6pk2ddc4uhw2cxb4z3inx5qrq","2026-02-28","Seeing a pattern here. Trump just accused Iran of interfering in our '20 & '24 elections. Now he's claiming China did the same. Will he blame the entire world of interfering so he can stop the elections to ""protect"" us? I was tired of this fucker before he took office in '16 - imagine how I feel rn.","2","Iran; Trump","0","1","1","0","False","0","","0","","0","","0","","1","Trump; accused; interfering","0","","1","https://bsky.app/profile/breedanielswins.bsky.social/post/3mfxgneoojk2k","did:plc:fge6es3o7m2oh6p635ojgpb3","True","high","The Iran conflict","The post directly discusses allegations concerning Iran's role in interfering with U.S. elections, which falls under the diplomatic and political dimensions of the Iran conflict."
"bafyreigolfqzonuy4k77ckbwqb6wble4piolatoxp6whguxxz2vvxnddxm","2026-02-28","On the contrary to what Trump has said about the imminent threat from Iran, this continued series of campaigns against Iran have taken place precisely because the US believes Iran does not have the capacity to impose costs or threaten the US in the short term","2","Iran; Trump","0","1","1","0","False","0","","1","imminent threat","0","","0","","1","Trump","0","","2","https://bsky.app/profile/oromazes.bsky.social/post/3mfxgnegxhc2m","did:plc:uccvoznjralbj74vjmxyjjvn","True","high","The Iran conflict","The post directly discusses US military and diplomatic strategy regarding Iran's perceived capacity to threaten the US."
"bafyreibfogmwa2mezkejupexe5zqi7wejxgiexvv567tphhlak5zyihwhm","2026-02-28","‘Don’t attend in person’: Lindsey Graham issues ominous warning to journalists   www.rawstory.com/amp/iran-267...","1","Iran","0","1","1","0","False","0","","0","","0","","0","","1","Graham; Lindsey Graham; ominous; warning","0","","1","https://bsky.app/profile/trumprussiaties.bsky.social/post/3mfxgne2wos23","did:plc:dv25rroygcfed4cxxeyhygmb","True","high","The Iran conflict","The post explicitly mentions Iran in the URL and relates to a warning issued by a U.S. Senator concerning geopolitical tensions involving the country."
"bafyreihdmvrgo5o7peryesu7g4n5qxweii3a7dkriyo5gtzmnb53uhtr54","2026-02-28","I'm old enough to remember the idiocy, corruption,  and lies around both Gulf Wars - same playbook here. And it's the ordinary people who suffer. #Israel #Iran #Trump","2","Iran; Trump","0","1","1","0","False","0","","0","","0","","1","Israel","1","Trump; corruption; idiocy; lies; playbook","0","","2","https://bsky.app/profile/mikeybill.bsky.social/post/3mfxgndbxuc2y","did:plc:i6daqt2obbr6m4zzmmw34kdu","True","high","The Iran conflict","The post explicitly mentions Iran and references conflict, fitting within the context of Iran's role in regional tensions."
"bafyreifg23goegjolfqvx7zwaqsm54rcxbict5aws72fqxiicdq2m33tke","2026-02-28","Benefiting  OIL OLIGARCHS  HE NEEDS  A SUBDUED  Iran so kushner  can build  resorts  in Ghaza!","2","Iran; oil","0","1","1","1","True","0","","0","","1","oil oligarchs","0","","1","Kushner","0","","2","https://bsky.app/profile/travelingwjoy.bsky.social/post/3mfxgnd7hrs2w","did:plc:do5iiywood6teghvdwtuc7d2","True","high","The Iran conflict; Oil supply chain / energy markets","The post directly references Iran's geopolitical status and oil-related economic interests."
"bafyreiezndnw3ydjwimj43ngemipqmug5phuzmkaws5to4fwzzs4ixnqka","2026-02-28","They'll kiss his ring once again.. Republicans face a 'major test of loyalty' after Trump's latest 'slap in the face'. www.rawstory.com/trump-iran-2...","2","Iran; Trump","0","1","1","0","False","0","","0","","0","","0","","1","Trump; slap in the face","0","","1","https://bsky.app/profile/ldogld.bsky.social/post/3mfxgncvan22o","did:plc:6x4aos53mbvaprbmcw2igusy","True","high","The Iran conflict","The post explicitly references a news article concerning Donald Trump's policy or rhetoric regarding Iran."
"bafyreigott6irosv3z23e6sma5iajxrcs2mddkeibu42efgtvlifjtvszu","2026-02-28","Trump tried to gin up a war with Iran his last time around.  Part of me thinks it's more an attempt to destroy the black guy's legacy of signing a treaty with Iran than it is a distraction of Trump's involvement with Epstein, his dismal failure as President, & his record breaking bad poll numbers.","2","Iran; Trump","0","1","1","0","False","0","","1","war with Iran","0","","1","treaty","1","Trump; distraction; gin up","0","","3","https://bsky.app/profile/jc-allen.bsky.social/post/3mfxgncnoh22v","did:plc:igrk546x2ms3ptmgokdylxyc","True","high","The Iran conflict","The post directly discusses Iran's nuclear treaty and political tensions regarding potential military conflict with Iran."
"bafyreig6xz3b2dteiwajwvwlzhzhbcjzi5z2knvbvqas726owfddqee36u","2026-02-28","Idk what's the point of these right wing nutsos pushing the narrative that the attacks on Iran are actually symbolic in Judaism other than doing the same tactics as Isis.","1","Iran","0","1","1","0","False","0","","0","","0","","0","","1","narrative; nutsos","0","","1","https://bsky.app/profile/voyahora.bsky.social/post/3mfxgnch6gs2v","did:plc:ggrxgv6j6blle4lkqr4ioti6","True","high","The Iran conflict","The post explicitly mentions attacks on Iran and discusses the geopolitical narrative surrounding them."
"bafyreif5ofx7qpiwoqe6pgg65wqhudgddfn6fhp2633xkco3hhdqxj5or4","2026-02-28","'Serious moment': Most Republicans support strike as Dems demand answers ->ABC7 | More on ""Republicans back Iran strike debate"" at BigEarthData.ai","1","Iran","0","1","1","0","False","1","strike","0","","0","","0","","0","","1","Dems demand answers","2","https://bsky.app/profile/bigearthdata.ai/post/3mfxgnbkvzr2b","did:plc:lc6hdhnjkgccd6ysi7e23pll","True","high","The Iran conflict","The post explicitly references a debate regarding a potential military strike against Iran."
